"","log_e[1]","log_e[2]","log_e[3]","log_b[1]","log_b[2]","log_b[3]","e[1]","e[2]","e[3]","b[1]","b[2]","b[3]","lp__"
"1129",3.2422447388403,3.38132225615222,3.58482297227746,0.64907202011988,0.515195216041746,0.931109103424701,25.5911026627856,29.40963248277,36.0469758399538,1.91376407019075,1.67396525477384,2.53732176986622,-137.360326149165
"1130",3.29286639550152,3.56331849849431,3.85053176401653,0.904166075541667,0.495684454188221,0.512171853401504,26.9199162984469,35.2800799924003,47.0180590969942,2.46987137785643,1.64162146930351,1.66891189368234,-136.697410930309
"1131",3.33660070328979,3.43739674761452,3.74406841519282,0.484096875876231,0.56602168690833,0.893083384341693,28.1233643753337,31.1058762292282,42.2696111437475,1.62270883937868,1.76124630609476,2.44264967953742,-136.832495095645
"1132",3.41458400706185,3.48054368652043,3.50679363175529,0.591948177588737,0.362336110084906,0.569513900568519,30.4042988228669,32.4773747875492,33.341192074095,1.80750633084844,1.43668174404145,1.76740770670574,-138.197695049736
"1133",3.46406811452326,3.46229497105177,3.50722577382065,0.639029436129479,0.619660700070641,0.601854622523772,31.9466752547058,31.8900794071492,33.3556033193281,1.89464111643047,1.85829741468499,1.8255012785993,-138.067374343956
"1134",3.27076741974901,3.65589080839181,3.4640341499989,0.683507824483431,0.639427360342856,0.882513045567285,26.3315389344922,38.7019818141224,31.9455902195025,1.98081390719668,1.89539519002848,2.4169660265144,-139.104473314496
"1135",3.35702724967034,3.82616278359908,3.66619793265533,0.607814543755566,0.480693215638126,1.05631514166297,28.703734885166,45.8861249913908,39.1029508188041,1.83641360844037,1.61719507863121,2.87575469285108,-139.47493723954
"1136",3.28614100999822,3.88015722892276,3.93008836539365,0.70640251777481,0.460075342538926,0.713275357760214,26.7394769259112,48.4318293570938,50.9114762830809,2.02668715731234,1.58419333764647,2.04066422991847,-138.116224312753
"1137",3.05963076970637,3.45971637123036,3.67276255347793,0.548668223624331,0.403367507456245,0.622746398134763,21.3196838354584,31.8079535844071,39.360491266793,1.73094624883634,1.49685689666238,1.86404041544636,-137.358194863504
"1138",3.2869646634958,3.27850772898051,3.7306533842508,0.507325055826748,0.391548623478984,0.687890864150891,26.7615100621941,26.5361440201725,41.7063495354633,1.66084258650941,1.47926985300593,1.98951494769895,-137.406320090567
"1139",3.29340453097678,3.74940027918503,3.846679622904,0.789667568769384,0.66163652760365,0.966405647585773,26.9344067589639,42.4955888672576,46.8372873012879,2.20266407020618,1.93796126778083,2.62847977720944,-137.672162676926
"1140",3.20345389739737,3.59787654905108,3.91918749449563,0.689599597153111,0.52918697363065,0.74287622568083,24.6174095371939,36.520602341171,50.3595107710657,1.99291740366503,1.69755159320698,2.1019725758601,-135.696218311356
"1141",3.42315691017722,3.59043195341278,3.63505371061404,0.860930247247992,0.494332902389529,0.659131664384579,30.6660724075107,36.2497307400636,37.9038886836056,2.36536004024711,1.63940423154726,1.93311301452178,-136.139894154877
"1142",3.39423929801075,3.73904514146219,3.80372212176909,0.808345711440863,0.497258316838452,0.59355419416764,29.7919820329297,42.057811725079,44.8678777791112,2.24419237240858,1.64420719027094,1.81041154827148,-136.496311780002
"1143",3.31961080164868,3.40834020682106,3.76132994916185,0.627332375945839,0.509737753741863,0.932151114079899,27.6495872903414,30.2150518794273,43.0055832015719,1.87260849492533,1.66485453581992,2.53996706415915,-135.962239852867
"1144",3.24177990189115,3.56840878383321,3.77346542782612,0.922764923644808,0.549105439452642,0.680406982474307,25.5792097370481,35.4601235140314,43.5306561005055,2.51623798662822,1.73170321140023,1.97468122936743,-135.81770977695
"1145",3.21208445449264,3.5636688696315,3.7650141936785,0.857183093596741,0.486220808685488,0.882042430496663,24.8307909715668,35.2924432798906,43.1643185159717,2.35651325821316,1.62615902660843,2.41582883348822,-135.698464071737
"1146",3.29290619894488,3.60220841205756,3.7985908832369,0.49377174523391,0.569783557030978,0.562270018187569,26.9209878251357,36.679147737971,44.6382396636237,1.63848452620552,1.76788436387961,1.75465107271967,-136.800313489464
"1147",3.37789267309629,3.60506128261088,3.79574023588219,0.987659586169629,0.522920845220641,0.823906572705043,29.308942466606,36.7839380039328,44.5111729810061,2.68494323489069,1.68694777408346,2.27938705820882,-136.619708448308
"1148",3.27386510175842,3.40358304303148,3.62027738796853,0.489643834925199,0.382798801140406,0.529941326262683,26.413232133381,30.0716552797112,37.3479262507268,1.63173494944707,1.46638296580565,1.69883262883488,-137.985956107262
"1149",3.16534414255935,3.63782890684706,3.99127074506007,0.721268735824698,0.830855673773996,0.896474894656331,23.6968977407688,38.0092255102732,54.1236230091788,2.05704139785809,2.29528191276347,2.45094801511178,-140.19272278087
